finger,q_deg,curl_progress,h_x_mm,h_y_mm,hand_mcp_x_mm,hand_mcp_y_mm,hand_pip_x_mm,hand_pip_y_mm,hand_dip_x_mm,hand_dip_y_mm,hand_tip_x_mm,hand_tip_y_mm,distal_start_x_mm,distal_start_y_mm,distal_end_x_mm,distal_end_y_mm,r4_x_mm,r4_y_mm,rod_length_mm,rod_error_mm,perpendicular_deviation_deg,mechanism_residual_mm
ring,0.0,0.0,96.932098,10.514118,0.0,-2.0,44.0,-2.0,70.0,-2.0,96.0,-2.0,70.0,-2.0,96.0,-2.0,83.0,-2.0,28.0,9.27284047166982,48.06911766849675,1.0075033500811514e-06
ring,0.5,0.007633587786259542,96.96557307365543,9.407318575703622,0.0,-2.0,43.99940603198138,-2.228623780130022,69.99749515397887,-2.543841172853755,95.99290760251141,-3.0322381739498736,69.99749515397887,-2.543841172853755,95.99290760251141,-3.0322381739498736,82.99520137824514,-2.7880396734018142,28.0,9.455511650845011,47.80451143116388,1.3495146333752928e-08
ring,1.0,0.015267175572519083,96.98537435857926,8.299321161569498,0.0,-2.0,43.99762414396178,-2.457241387750331,69.98998091283289,-3.087629839199199,95.97163232585753,-4.064251491669969,69.98998091283289,-3.087629839199199,95.97163232585753,-4.064251491669969,82.9808066193452,-3.575940665434584,28.0,9.638361701016553,47.55083925695058,1.355390111257293e-08
ring,1.5,0.022900763358778626,96.99146090768079,7.190322661432497,0.0,-2.0,43.99465438404958,-2.685846650517862,69.97745816727254,-3.631313499505334,95.93617991686106,-5.095815164728066,69.97745816727254,-3.631313499505334,95.93617991686106,-5.095815164728066,82.9568190420668,-4.3635643321167,28.0,9.821345568063894,47.30839428677059,1.3615867544558569e-08
ring,2.0,0.030534351145038167,96.9837948683872,6.0805200420341246,0.0,-2.0,43.99049683242401,-2.9144333964228437,69.95992840167631,-4.174839668194779,95.88655995151672,-6.126704540264597,69.95992840167631,-4.174839668194779,95.88655995151672,-6.126704540264597,82.92324417659651,-5.150772104229688,28.0,10.004416957732573,47.07748248305876,1.3681393795650365e-08
ring,2.5,0.03816793893129771,96.96234155506866,4.970111109580549,0.0,-2.0,43.98515160133289,-3.1429954539554323,69.93739369388197,-4.718155880618066,95.82278583192712,-7.156695168722804,69.93739369388197,-4.718155880618066,95.82278583192712,-7.156695168722804,82.88008976290455,-5.937425524670434,28.0,10.18752765713202,46.85842116164855,1.3750785399224696e-08
ring,3.0,0.04580152671755725,96.9270694623122,3.859294427920463,0.0,-2.0,43.9786188350897,-3.371526652272336,69.90985671489474,-5.261209700024919,95.74487478201473,-8.185562871511529,69.90985671489474,-5.261209700024919,95.74487478201473,-8.185562871511529,82.82736574845474,-6.723386285768224,28.0,10.370627467024118,46.65153935864847,1.3824354994085297e-08
ring,3.5,0.05343511450381679,96.87795027488391,2.748269236735056,0.0,-2.0,43.97089871006963,-3.6000208213634144,69.87732072851203,-5.803948724531512,95.65284784201103,-9.213083808578208,69.87732072851203,-5.803948724531512,95.65284784201103,-9.213083808578208,82.76508428526154,-7.50851626655486,28.0,10.553664129636328,46.45717819025315,1.3902443640745332e-08
ring,4.0,0.061068702290076333,96.81495887438535,1.6372353698741104,0.0,-2.0,43.96199143470484,-3.8284717922182647,69.83978959086468,-6.346320594082703,95.54672986172467,-10.239034545869668,69.83978959086468,-6.346320594082703,95.54672986172467,-10.239034545869668,82.69325972629468,-8.292677569976185,28.0,10.736583251795398,46.27569120231993,1.3985385294290609e-08
ring,4.5,0.06870229007633588,96.7380733426146,0.526393173969248,0.0,-2.0,43.95189724947882,-4.056873396992772,69.79726774987535,-6.888272997408234,95.42654949259143,-11.263192122658396,69.79726774987535,-6.888272997408235,95.42654949259143,-11.263192122658397,82.6119086212334,-9.075732560033316,28.0,10.91932822318779,46.107444706043424,1.4073528120661649e-08
ring,5.0,0.07633587786259542,96.6472749616471,-0.5840565725444858,0.0,-2.0,43.940616426919874,-4.285219469175637,69.7497602446334,-7.429753678971911,95.292339178508,-12.285334118711958,69.7497602446334,-7.429753678971911,95.292339178508,-12.285334118711958,82.5210497115707,-9.857543898841936,28.0,11.101840129561577,45.95281809550058,1.4167198969516903e-08
ring,5.5,0.08396946564885496,96.54254821065615,-1.6939127398692533,0.0,-2.0,43.92814927159383,-4.513503843754853,69.6972727046871,-7.970710445912737,95.14413514545319,-13.305238721283303,69.6972727046871,-7.970710445912738,95.14413514545319,-13.305238721283304,82.42070392507014,-10.637974583598021,28.0,11.28405766070058,45.812204142208365,1.4266795744788396e-08
ring,6.0,0.0916030534351145,96.42388075949677,-2.8029739266184945,0.0,-2.0,43.914496120095755,-4.741720357384167,69.63981134925241,-8.511091174977032,94.98197738989981,-14.322684791899817,69.63981134925241,-8.511091174977032,94.98197738989981,-14.322684791899817,82.31089436957612,-11.416887983438425,28.0,11.465917013019276,45.686009261135176,1.4372652401561936e-08
ring,6.5,0.09923664122137404,96.29126345908182,-3.91103853879845,0.0,-2.0,43.89965734104089,-4.969862848549466,69.57738298633949,-9.050843819440496,94.80590966602139,-15.337451932928916,69.57738298633949,-9.050843819440496,94.80590966602139,-15.337451932928916,82.19164632618043,-12.194147876184706,28.0,11.647351786652361,45.574653741829565,1.448518816005162e-08
ring,7.0,0.10687022900763359,96.14469032858239,-5.017904867871535,0.0,-2.0,43.883633335054704,-5.197925157735142,69.50999501179601,-9.589916416019266,94.6159794716977,-16.349320553898213,69.50999501179601,-9.589916416019266,94.6159794716977,-16.349320553898213,82.06298724174685,-12.96961848495874,28.0,11.828292876942044,45.47857193746276,1.460475829162533e-08
ring,7.5,0.11450381679389313,95.98415853948939,-6.123371167778926,0.0,-2.0,43.86642453476206,-5.425901127590378,69.43765540826821,-10.128257091768928,94.41223803332421,-17.358071937548253,69.43765540826821,-10.128257091768928,94.41223803332421,-17.358071937548253,81.92494672079621,-13.743164514658591,28.0,12.008668360263634,45.398212403631405,1.4731817543633952e-08
ring,8.0,0.12213740458015267,95.80966839657577,-7.227235730801649,0.0,-2.0,43.848031404775554,-5.653784603095399,69.36037274407938,-10.66581407097054,94.1947402894304,-18.363488305595993,69.36037274407938,-10.66581407097054,94.1947402894304,-18.363488305595993,81.77755651675488,-14.514651188283267,28.0,12.188403374176518,45.3340379777172,1.486673539830008e-08
ring,8.5,0.1297709923664122,95.62122331580369,-8.329296962141184,0.0,-2.0,43.82845444168295,-5.881569431727638,69.27815617202617,-11.202535682002594,93.96354487311248,-19.365352884187164,69.27815617202617,-11.202535682002594,93.96354487311248,-19.365352884187164,81.62085052256933,-15.283944283094879,28.0,12.367419991940379,45.28652578845666,1.5009987919256673e-08
ring,9.0,0.13740458015267176,95.41882979922269,-9.429353453104516,0.0,-2.0,43.80769417403379,-6.1092494636278545,69.19101542809281,-11.738370364198031,93.71871409328668,-20.36344996901599,69.19101542809281,-11.738370364198031,93.71871409328668,-20.36344996901599,81.45486476068974,-16.05091016660701,28.0,12.545637091503888,45.25616718413064,1.516200143214519e-08
ring,9.5,0.1450381679389313,95.20249740690917,-10.527204052779696,0.0,-2.0,43.785751162325134,-6.3368185517661635,69.0989608300834,-12.273266674685226,93.46031391476906,-21.357564990090562,69.0989608300834,-12.273266674685226,93.46031391476906,-21.357564990090562,81.27963737242624,-16.815415832387895,28.0,12.722970219149092,45.24346756643711,1.5323223578889156e-08
ring,10.0,0.15267175572519084,94.97223872599955,-11.6226479380907,0.0,-2.0,43.76262599898639,-6.564270552108004,69.00200327617262,-12.807173295212023,93.18841393718907,-22.34748457612261,69.00200327617262,-12.807173295212023,93.18841393718907,-22.34748457612261,81.09520860668084,-17.577328935667317,28.0,12.899331448065668,45.24894611566645,1.5494180161113036e-08
