q_deg,max_residual_mm,a_x_mm,a_y_mm,b_x_mm,b_y_mm,c_x_mm,c_y_mm,d_x_mm,d_y_mm,e_x_mm,e_y_mm,f_x_mm,f_y_mm,g_x_mm,g_y_mm,h_x_mm,h_y_mm
0,1.00750335e-06,0,0,0,31,53.916595,27.999876,54,0,65.518519,7.957621,94.718773,1.076843,103.914329,27.523804,150.932098,10.514118
0.5,1.349514633e-08,0,0,0.2705226002,30.99881962,54.18715574,27.99937451,54,0,65.518519,7.957621,94.63182167,0.7177585297,104.1779549,27.0402079,150.9655731,9.407318576
1,1.355392953e-08,0,0,0.5410245992,30.99527855,54.45768142,27.99625917,54,0,65.518519,7.957621,94.54083115,0.3612140897,104.4368794,26.55411827,150.9853744,8.299321162
1.5,1.361586754e-08,0,0,0.8114853972,30.98937707,54.72815183,27.99053045,54,0,65.518519,7.957621,94.44587213,0.007259887298,104.6910835,26.06557229,150.9914609,7.190322661
2,1.36813938e-08,0,0,1.081884397,30.98111564,54.99854639,27.98218907,54,0,65.518519,7.957621,94.34701495,-0.344054839,104.9405483,25.57460741,150.9837949,6.080520042
2.5,1.37507854e-08,0,0,1.352201008,30.97049487,55.2688445,27.97123583,54,0,65.518519,7.957621,94.24433057,-0.6926824854,105.1852551,25.08126116,150.9623416,4.97011111
3,1.382435499e-08,0,0,1.622414643,30.95751558,55.53902559,27.95767158,54,0,65.518519,7.957621,94.13789042,-1.038577092,105.4251854,24.58557114,150.9270695,3.859294428
3.5,1.390244364e-08,0,0,1.892504725,30.94217875,55.80906907,27.94149726,54,0,65.518519,7.957621,94.02776644,-1.38169435,105.6603206,24.08757503,150.8779503,2.748269237
4,1.398538529e-08,0,0,2.162450686,30.92448556,56.07895435,27.92271385,54,0,65.518519,7.957621,93.91403098,-1.72199161,105.8906425,23.58731056,150.8149589,1.63723537
4.5,1.407352812e-08,0,0,2.432231967,30.90443735,56.34866083,27.90132241,54,0,65.518519,7.957621,93.79675679,-2.059427882,106.1161327,23.08481552,150.7380733,0.526393174
5,1.416719897e-08,0,0,2.701828025,30.88203564,56.61816793,27.87732406,54,0,65.518519,7.957621,93.67601697,-2.393963844,106.3367732,22.58012776,150.647275,-0.5840565725
5.5,1.426678864e-08,0,0,2.971218328,30.85728215,56.88745507,27.85071998,54,0,65.518519,7.957621,93.55188492,-2.725561839,106.5525459,22.0732852,150.5425482,-1.69391274
6,1.43726524e-08,0,0,3.240382361,30.83017876,57.15650167,27.82151141,54,0,65.518519,7.957621,93.42443432,-3.054185877,106.7634329,21.56432579,150.4238808,-2.802973927
6.5,1.448518816e-08,0,0,3.509299626,30.80072753,57.42528716,27.78969967,54,0,65.518519,7.957621,93.29373905,-3.379801632,106.9694165,21.05328754,150.2912635,-3.911038539
7,1.460475829e-08,0,0,3.777949645,30.7689307,57.69379098,27.75528613,54,0,65.518519,7.957621,93.15987317,-3.70237644,107.170479,20.54020851,150.1446903,-5.017904868
7.5,1.473181754e-08,0,0,4.046311958,30.7347907,57.96199258,27.71827222,54,0,65.518519,7.957621,93.02291089,-4.021879295,107.3666028,20.0251268,149.9841585,-6.123371168
8,1.48667354e-08,0,0,4.314366129,30.69831013,58.22987141,27.67865943,54,0,65.518519,7.957621,92.88292651,-4.338280839,107.5577706,19.50808053,149.8096684,-7.227235731
8.5,1.500998792e-08,0,0,4.582091744,30.65949176,58.49740696,27.63644931,54,0,65.518519,7.957621,92.73999439,-4.65155336,107.7439651,18.98910789,149.6212233,-8.329296962
9,1.516197301e-08,0,0,4.849468416,30.61833856,58.7645787,27.59164348,54,0,65.518519,7.957621,92.5941889,-4.961670779,107.925169,18.46824706,149.4188298,-9.429353453
9.5,1.532322358e-08,0,0,5.116475781,30.57485365,59.03136615,27.54424359,54,0,65.518519,7.957621,92.44558438,-5.268608641,108.1013653,17.94553627,149.2024974,-10.52720405
10,1.549418727e-08,0,0,5.383093507,30.52904034,59.29774881,27.49425136,54,0,65.518519,7.957621,92.29425512,-5.572344103,108.2725371,17.42101378,148.9722387,-11.62264794
10.5,1.567536145e-08,0,0,5.649301289,30.48090213,59.56370623,27.44166855,54,0,65.518519,7.957621,92.1402753,-5.872855922,108.4386674,16.89471784,148.7280693,-12.71548468
11,1.586731457e-08,0,0,5.915078856,30.43044269,59.82921796,27.386497,54,0,65.518519,7.957621,91.98371897,-6.170124439,108.5997396,16.36668675,148.4700078,-13.80551432
11.5,1.607057243e-08,0,0,6.180405966,30.37766584,60.09426358,27.32873856,54,0,65.518519,7.957621,91.82465999,-6.464131566,108.755737,15.83695878,148.1980755,-14.89253742
12,1.628569635e-08,0,0,6.445262414,30.32257562,60.35882269,27.26839515,54,0,65.518519,7.957621,91.66317201,-6.754860765,108.9066431,15.30557224,147.9122968,-15.97635512
12.5,1.651332582e-08,0,0,6.709628031,30.26517622,60.62287492,27.20546871,54,0,65.518519,7.957621,91.49932845,-7.042297036,109.0524415,14.77256541,147.6126989,-17.05676924
13,1.67540648e-08,0,0,6.973482684,30.20547201,60.88639991,27.13996124,54,0,65.518519,7.957621,91.33320243,-7.326426893,109.1931157,14.23797659,147.2993118,-18.13358228
13.5,1.700858832e-08,0,0,7.236806279,30.14346753,61.14937734,27.07187477,54,0,65.518519,7.957621,91.16486677,-7.607238347,109.3286496,13.70184405,146.972168,-19.20659753
14,1.727756427e-08,0,0,7.499578763,30.07916751,61.4117869,27.00121136,54,0,65.518519,7.957621,90.99439395,-7.884720885,109.459027,13.16420606,146.631303,-20.27561906
