finger,q_deg,curl_progress,h_x_mm,h_y_mm,hand_mcp_x_mm,hand_mcp_y_mm,hand_pip_x_mm,hand_pip_y_mm,hand_dip_x_mm,hand_dip_y_mm,hand_tip_x_mm,hand_tip_y_mm,slot_start_x_mm,slot_start_y_mm,slot_end_x_mm,slot_end_y_mm,slider_x_mm,slider_y_mm,slider_translation_mm,slot_length_mm,rod_length_mm,rod_error_mm,mechanism_residual_mm
little,0.0,0.0,96.932098,10.514118,0.0,-1.0,34.0,-1.0,57.0,-1.0,80.0,-1.0,57.0,-11.0,80.0,-11.0,79.01164246220532,-11.0,22.011642462205312,22.999999999999996,28.0,0.0,1.0075033500811514e-06
little,0.5,0.007633587786259542,96.96557307365546,9.407318575703611,0.0,-1.0,33.99872507374635,-1.2944373614393214,56.99629983025596,-1.6284363416054677,79.99212567188638,-2.066607382869641,56.80579068188023,-11.626621490140433,79.80161652351066,-12.064792531404606,78.9760273226919,-12.04906144689081,22.174260939806942,22.999999999999996,28.0,0.0,1.3495174755462358e-08
little,1.0,0.015267175572519083,96.98537435857926,8.2993211615695,0.0,-1.0,33.994900390599334,-1.5888526413538102,56.985199928099156,-2.256780164394586,79.96850480971634,-3.132963203851698,56.604250780509105,-12.249521417271618,79.58755566212629,-13.12570445672873,78.92868740438315,-13.100586694263988,22.34065313904388,22.999999999999996,28.0,0.0,1.355390111257293e-08
little,1.5,0.022900763358778626,96.99146090768079,7.190322661432499,0.0,-1.0,33.9885262373936,-1.8832237598746522,56.966702114640555,-2.884938966061595,79.92914377933732,-4.198815975297086,56.39545124105991,-12.868609255060193,79.35789290575667,-14.182486264295685,78.86975673729467,-14.154555833443265,22.511065415491615,22.999999999999996,28.0,0.0,1.3615867544558569e-08
little,2.0,0.030534351145038167,96.9837948683872,6.080520042034133,0.0,-1.0,33.979603092162975,-2.1775286404449465,56.94080942468164,-3.5128202773186636,79.87405318827882,-5.263914358009517,56.179464172207354,-13.483795826708747,79.11270793580454,-15.2348899073996,78.79938894352777,-15.210966077068422,22.68576896942052,22.999999999999996,28.0,0.0,1.3681393795650365e-08
little,2.5,0.03816793893129771,96.96234155506866,4.970111109580557,0.0,-1.0,33.968131624104664,-2.4717452114753504,56.90752610613943,-4.140331678396702,79.80324788242856,-6.328007235411366,55.95636282048088,-14.094993320261544,78.85208459677001,-16.28266887727621,78.71776104587585,-16.26983432452029,22.865064674494544,22.999999999999996,28.0,0.0,1.3750785399224696e-08
little,3.0,0.04580152671755725,96.9270694623122,3.859294427920452,0.0,-1.0,33.95411269352899,-2.7658514079993552,56.8668576192415,-4.767380815536423,79.71674694138085,-7.390843787636965,55.726221544415175,-14.702115303423092,78.57611086655453,-17.325578275523632,78.57611086655453,-17.325578275523632,23.000000000000014,22.999999999999996,28.0,0.027781090274391573,1.3824354994085297e-08
little,3.5,0.05343511450381679,96.87795027488391,2.7482692367350645,0.0,-1.0,33.93754735179495,-3.0598251733280595,56.81881063549146,-5.393875417466369,79.61457367245856,-8.452173565529113,55.48911578850766,-15.305076737886852,78.28487882547476,-18.363374885949597,78.28487882547476,-18.363374885949597,22.99999999999999,22.999999999999996,28.0,0.1319004598999598,1.3902443640745332e-08
little,4.0,0.061068702290076333,96.81495887438535,1.6372353698741113,0.0,-1.0,33.91843684123128,-3.3536444607043276,56.76339303640477,-6.019723311864675,79.4967556034108,-9.511746564514716,55.24512205699171,-15.903793993171648,77.97848462399774,-19.39581724582169,77.97848462399774,-19.39581724582169,22.999999999999996,22.999999999999996,28.0,0.23476694644642393,1.3985385294290609e-08
little,4.5,0.06870229007633588,96.7380733426146,0.5263931739692324,0.0,-1.0,33.89678259504341,-3.647287234956202,56.70061391201556,-6.644832441801315,79.36332447378855,-10.569313298335453,54.9943178874355,-16.498184859963487,77.6570284492085,-20.422665716497626,77.6570284492085,-20.422665716497626,23.000000000000007,22.999999999999996,28.0,0.33636078645999135,1.4073528120661649e-08
