dimension_id,body_id,node_1,node_2,body_role,value,units,value_source,uncertainty_mm,confidence
L_ab,input_crank,a,b,actuated crank,31,mm,remeasured,,high
L_bc,loop_1_coupler,b,c,first-stage coupler,54,mm,remeasured,,high
L_cd,central_body,c,d,rigid CDG body,28,mm,remeasured,,high
L_ad,ground,a,d,fixed ADE frame,54,mm,dimensioned_plot_rounded,,high
L_ae,ground,a,e,fixed ADE frame,66,mm,remeasured,,high
L_de,ground,d,e,fixed ADE frame,14,mm,remeasured,,high
L_cg,central_body,c,g,rigid CDG body,50,mm,remeasured,,high
L_dg,central_body,d,g,rigid CDG body,57,mm,remeasured,,high
L_ef,link_ef,e,f,lower distal coupler,30,mm,remeasured,,high
L_fg,distal_body,f,g,rigid FGH distal output body,28,mm,remeasured,,high
L_gh,distal_body,g,h,rigid FGH distal output body,50,mm,remeasured,,high
L_fh,distal_body,f,h,rigid FGH distal output body,57,mm,remeasured,,high
