q_deg,input_torque_Nm,input_torque_mNm,body:input_crank_Nm,body:loop_1_coupler_Nm,body:central_body_Nm,body:link_ef_Nm,body:distal_body_Nm,point:joint_b_Nm,point:joint_c_Nm,point:joint_f_Nm,point:joint_g_Nm
0,-0.00886217412428,-8.86217412428,-1.25856304545e-10,1.81010883658e-06,-0.00144303711405,-0.000202475854404,-0.00438019748464,-1.5102758627e-10,2.71531428237e-06,-0.00121485512642,-0.001626133691
0.5,-0.00891306620988,-8.91306620988,-6.63221682809e-06,-9.37021541994e-06,-0.00145834228641,-0.000201048663018,-0.00438278547706,-7.95866019371e-06,-6.09666293624e-06,-0.00120629197811,-0.00163454004991
1,-0.00896341870421,-8.96341870421,-1.32639288644e-05,-2.05497326343e-05,-0.00147359110225,-0.000199607366445,-0.00438505401288,-1.59167146373e-05,-1.49078843142e-05,-0.00119764419867,-0.00164288376351
1.5,-0.00901269168418,-9.01269168418,-1.98946306651e-05,-3.17271150897e-05,-0.00148872633648,-0.000198138131604,-0.00438668432056,-2.38735567981e-05,-2.37171158364e-05,-0.00118882878962,-0.00165110168752
2,-0.00906088758263,-9.06088758263,-2.65238174127e-05,-4.29015681534e-05,-0.00150374691653,-0.000196641689856,-0.00438767789784,-3.18285808952e-05,-3.25237713349e-05,-0.00117985013914,-0.00165919320148
2.5,-0.00910801205865,-9.10801205865,-3.31509842688e-05,-5.40725435437e-05,-0.00151865243755,-0.000195118962318,-0.00438803647521,-3.97811811226e-05,-4.1327634193e-05,-0.00117071377391,-0.00166715806654
3,-0.00915407102723,-9.15407102723,-3.97756265492e-05,-6.52394924352e-05,-0.00153344250146,-0.000193570874848,-0.00438776199172,-4.7730751859e-05,-5.01284867937e-05,-0.00116142524909,-0.00167499605247
3.5,-0.00919907065187,-9.19907065187,-4.63972397615e-05,-7.64018658308e-05,-0.00154811671773,-0.000191998357165,-0.0043868565916,-5.56766877138e-05,-5.89261110324e-05,-0.00115199014299,-0.00168270693805
4,-0.00924301733681,-9.24301733681,-5.30153196444e-05,-8.75591149334e-05,-0.00156267470422,-0.000190402341965,-0.00438532262043,-6.36183835733e-05,-6.77202888267e-05,-0.00114241405179,-0.00169029051143
4.5,-0.00928591771898,-9.28591771898,-5.96293622055e-05,-9.87106915139e-05,-0.00157711608795,-0.000188783764038,-0.00438316262121,-7.15552346466e-05,-7.65108026242e-05,-0.00113270258423,-0.00169774657057
5,-0.00932777865977,-9.32777865977,-6.62388637597e-05,-0.000109856048281,-0.00159144050592,-0.000187143559396,-0.00438037932999,-7.94866365117e-05,-8.52974359092e-05,-0.00112286135637,-0.00170507492363
5.5,-0.00936860723648,-9.36860723648,-7.2843320968e-05,-0.000120994639247,-0.00160564760594,-0.000185482664401,-0.00437697567132,-8.74119851616e-05,-9.40799737095e-05,-0.00111289598641,-0.00171227538933
6,-0.00940841073365,-9.40841073365,-7.94422308754e-05,-0.000132125920103,-0.00161973704737,-0.000183802014905,-0.00437295475343,-9.53306770505e-05,-0.000102858203104,-0.00110281208943,-0.00171934779739
6.5,-0.00944719663418,-9.44719663418,-8.60350909493e-05,-0.000143249348583,-0.00163370850196,-0.000182102545396,-0.00436831986316,-0.000103242109139,-0.000111631913735,-0.00109261527238,-0.00172629198889
7,-0.00948497261035,-9.48497261035,-9.26213991179e-05,-0.00015436438484,-0.00164756165466,-0.000180385188159,-0.00436307446067,-0.000111145678942,-0.000120400898318,-0.00108231112896,-0.00173310781668
7.5,-0.00952174651464,-9.52174651464,-9.92006538084e-05,-0.000165470491822,-0.00166129620443,-0.000178650872449,-0.00435722217391,-0.00011904078457,-0.000129164953163,-0.00107190523469,-0.00173979514579
8,-0.00955752637055,-9.55752637055,-0.000105772353985,-0.000176567135653,-0.00167491186507,-0.000176900523673,-0.00435076679287,-0.000126926824782,-0.000137923878698,-0.00106140314204,-0.00174635385379
8.5,-0.00959232036333,-9.59232036333,-0.000112335999187,-0.000187653786014,-0.00168840836602,-0.000175135062597,-0.00434371226367,-0.000134803199025,-0.000146677479996,-0.00105081037558,-0.00175278383124
9,-0.00962613683059,-9.62613683059,-0.000118891089568,-0.000198729916533,-0.00170178545323,-0.000173355404561,-0.00433606268246,-0.000142669307482,-0.000155425567318,-0.00104013242737,-0.00175908498207
9.5,-0.00965898425304,-9.65898425304,-0.000125437125932,-0.000209795005183,-0.00171504289001,-0.000171562458719,-0.00432782228909,-0.000150524551119,-0.000164167956655,-0.00102937475231,-0.00176525722403
10,-0.00969087124512,-9.69087124512,-0.000131973609774,-0.000220848534678,-0.00172818045789,-0.000169757127293,-0.00431899546067,-0.000158368331728,-0.000172904470289,-0.00101854276376,-0.00177130048904
10.5,-0.00972180654569,-9.72180654569,-0.000138500043314,-0.00023188999289,-0.00174119795752,-0.00016794030485,-0.00430958670498,-0.000166200051976,-0.000181634937359,-0.0010076418291,-0.0017772147237
11,-0.00975179900882,-9.75179900882,-0.000145015929539,-0.000242918873261,-0.00175409520956,-0.000166112877603,-0.00429960065367,-0.000174019115447,-0.000190359194444,-0.000996677265619,-0.00178299988967
11.5,-0.00978085759463,-9.78085759463,-0.00015152077224,-0.000253934675231,-0.00176687205562,-0.000164275722729,-0.00428904205545,-0.000181824926688,-0.000199077086158,-0.000985654336376,-0.00178865596414
12,-0.00980899136018,-9.80899136018,-0.000158014076048,-0.000264936904678,-0.00177952835916,-0.000162429707715,-0.004277915769,-0.000189616891257,-0.000207788465761,-0.000974578246289,-0.00179418294027
12.5,-0.00983620945061,-9.83620945061,-0.000164495346471,-0.000275925074365,-0.00179206400655,-0.000160575689723,-0.00426622675595,-0.000197394415766,-0.000216493195783,-0.000963454138339,-0.00179958082766
13,-0.00986252109027,-9.86252109027,-0.000170964089938,-0.0002868987044,-0.00180447890798,-0.000158714514988,-0.0042539800736,-0.000205156907925,-0.000225191148675,-0.000952287089926,-0.00180484965284
13.5,-0.00988793557412,-9.88793557412,-0.000177419813826,-0.00029785732271,-0.00181677299853,-0.00015684701823,-0.00424118086764,-0.000212903776592,-0.000233882207474,-0.000941082109381,-0.00180998945974
14,-0.00991246225927,-9.91246225927,-0.000183862026509,-0.000308800465531,-0.00182894623922,-0.000154974022104,-0.00422783436478,-0.000220634431811,-0.000242566266485,-0.000929844132625,-0.00181500031021
14.5,-0.00993611055671,-9.93611055671,-0.000190290237387,-0.000319727677908,-0.00184099861812,-0.000153096336666,-0.00421394586526,-0.000228348284865,-0.000251243231997,-0.000918578019996,-0.00181988228451
15,-0.00995888992328,-9.95888992328,-0.000196703956927,-0.000330638514221,-0.00185293015145,-0.000151214758871,-0.00419952073534,-0.000236044748312,-0.000259913023019,-0.000907288553227,-0.00182463548191
15.5,-0.00998080985384,-9.98080985384,-0.000203102696698,-0.000341532538717,-0.00186474088477,-0.000149330072098,-0.00418456439973,-0.000243723236038,-0.000268575572038,-0.000895980432587,-0.00182926002116
16,-0.0100018798737,-10.0018798737,-0.000209485969413,-0.000352409326072,-0.0018764308942,-0.000147443045698,-0.00416908233392,-0.000251383163296,-0.000277230825813,-0.000884658274187,-0.00183375604115
16.5,-0.0100221095315,-10.0221095315,-0.00021585328896,-0.000363268461968,-0.00188800028766,-0.000145554434574,-0.00415308005649,-0.000259023946752,-0.0002858787462,-0.000873326607446,-0.00183812370142
17,-0.0100415083916,-10.0415083916,-0.000222204170444,-0.000374109543693,-0.00189944920619,-0.000143664978786,-0.0041365631214,-0.000266645004533,-0.000294519311007,-0.000861989872717,-0.00184236318284
17.5,-0.0100600860282,-10.0600860282,-0.000228538130219,-0.000384932180765,-0.00191077782532,-0.000141775403181,-0.00411953711021,-0.000274245756263,-0.000303152514884,-0.000850652419086,-0.00184647468823
18,-0.010077852018,-10.077852018,-0.000234854685931,-0.000395735995583,-0.00192198635648,-0.000139886417053,-0.00410200762427,-0.000281825623118,-0.000311778370257,-0.000839318502315,-0.00185045844302
18.5,-0.0100948159348,-10.0948159348,-0.00024115335655,-0.000406520624106,-0.00193307504847,-0.000137998713827,-0.00408398027683,-0.00028938402786,-0.000320396908299,-0.000827992282962,-0.00185431469594
