finger,q_deg,curl_progress,h_x_mm,h_y_mm,hand_mcp_x_mm,hand_mcp_y_mm,hand_pip_x_mm,hand_pip_y_mm,hand_dip_x_mm,hand_dip_y_mm,hand_tip_x_mm,hand_tip_y_mm,slot_start_x_mm,slot_start_y_mm,slot_end_x_mm,slot_end_y_mm,slider_x_mm,slider_y_mm,slider_translation_mm,slot_length_mm,rod_length_mm,rod_error_mm,mechanism_residual_mm
little,0.0,0.0,96.69943806967777,9.172111200234136,0.0,-1.0,34.0,-1.0,57.0,-1.0,80.0,-1.0,57.0,-11.0,80.0,-11.0,75.8394467029623,-11.0,18.83944670296231,22.999999999999996,29.018154836137576,0.0,7.105427357601002e-15
little,0.5,0.01282051282051282,96.69181043467647,6.616417486734771,0.0,-1.0,33.99640388552165,-1.4944925201538102,56.98956327542545,-2.055403627619704,79.97778997055374,-2.7912252183541955,56.66964084467133,-12.050284799414612,79.65786753979961,-12.786106390149104,74.98045964364147,-12.636388982003197,18.32019659287438,22.999999999999996,29.018154836137576,0.0,1.3374110281461071e-06
little,1.0,0.02564102564102564,96.61099994067094,4.081999545379166,0.0,-1.0,33.98561630279482,-1.9888804372657876,56.95825793144885,-3.110369002268462,79.91117676506701,-4.581258874874932,56.318740595532994,-13.089898929928536,79.27165942915116,-14.560788802535006,74.0999578749495,-14.229371108107546,17.81769022019027,22.999999999999996,29.018154836137576,0.0,1.2327058200867214e-06
little,1.5,0.038461538461538464,96.45866940260322,1.569724284303205,0.0,-1.0,33.967639533783164,-2.483059170421424,56.90609845472992,-4.164458091569529,79.80021101717503,-6.3689103995346805,55.94764092952768,-14.118420075241318,78.8417534919728,-16.32287238320647,73.19797586163742,-15.779438406942916,17.330119363934408,22.999999999999996,29.018154836137576,0.0,1.1424828088024697e-06
little,2.0,0.05128205128205128,96.23639959920116,-0.9194981274391236,0.0,-1.0,33.94247738122312,-2.9769241829561777,56.83310898109862,-5.217233304211822,79.64497706654764,-8.152991205005499,55.55669250249267,-15.13543681962444,78.36856058794169,-18.071194720418116,72.27477322716342,-17.2869588865465,16.855956523468503,22.999999999999996,29.018154836137576,0.0,1.0641441896552806e-06
little,2.5,0.0641025641025641,95.94570505678243,-3.384726177885098,0.0,-1.0,33.910135167819455,-3.4703710045687606,56.73932328265583,-6.268257710175991,79.44559288435543,-9.93231567572901,55.14625460198061,-16.140548841349734,77.8525242036802,-19.80460680690275,71.33079640021855,-18.752210745083172,16.393906524020547,22.999999999999996,29.018154836137576,0.0,9.956282447376452e-07
little,3.0,0.07692307692307693,95.58804581973467,-5.824996140885832,0.0,-1.0,33.87061973511935,-3.9632952534203776,56.62478474972474,-7.317095260592552,79.20220996902101,-11.705702154253084,54.71669479595929,-17.13336709506919,77.29412001525556,-21.521973988729723,70.3666473565633,-20.175409711790028,15.942867948744412,22.999999999999996,29.018154836137576,0.0,9.352856480404625e-07
little,3.5,0.08974358974358974,95.16483696913605,-8.239329890238428,0.0,-1.0,33.823939442065125,-4.455592658215264,56.48954636766305,-8.3633110071098,78.91501321235381,-13.471973923928177,54.268388577742016,-18.113513983062305,76.69385542243278,-23.22217689988068,69.38305781452286,-21.556731052507555,15.501902138918568,22.999999999999996,29.018154836137576,0.0,8.817864625143557e-07
little,4.0,0.10256410256410256,94.67745629106628,-10.626741592823569,0.0,-1.0,33.770104163226065,-4.947159080257828,56.33367068854943,-9.406471320649459,78.5842207361953,-15.229960187059898,53.80171900750142,-19.0806235152781,76.05226905514729,-24.904112381688538,68.38086763795424,-22.896327376503212,15.07020805249226,22.999999999999996,29.018154836137576,0.0,8.340504713544306e-07
little,4.5,0.11538461538461539,94.12725041805382,-12.986243434647644,0.0,-1.0,33.70912528670955,-5.4378905354817535,56.15722979776015,-10.446144109428419,78.21008369972859,-16.978497037618638,53.317076350720924,-20.034341458110347,75.36993025268936,-26.56669438630057,67.36100652740666,-24.194343098749854,14.647101708452343,22.999999999999996,29.018154836137576,0.0,7.911944948091332e-07
little,5.0,0.1282051282051282,93.51553970669241,-15.316850503638454,0.0,-1.0,33.64101571175211,-5.927683216446389,55.96030527545527,-11.481899036125283,77.79288607763505,-18.716428427612396,52.81485771393913,-20.97432547185562,74.64743851611891,-28.208854863342737,66.32447831308279,-25.450926208062977,14.231999258158316,22.999999999999996,29.018154836137576,0.0,7.524921770141191e-07
little,5.5,0.14102564102564102,92.8436220672313,-17.617584930132587,0.0,-1.0,33.565789845990714,-6.416433514295767,55.74298815299604,-12.513307734071017,77.33294440930713,-20.442607126235085,52.2954666781421,-21.90024523681497,73.88542293445319,-29.82954462897904,65.27234733128292,-26.666237842522847,13.824402952877293,22.999999999999996,29.018154836137576,0.0,7.173428713258545e-07
little,6.0,0.15384615384615385,92.11277592362867,-19.887479368405142,0.0,-1.0,33.48346360241507,-6.904038040675632,55.505378864318715,-13.539944022343493,76.83060751935483,-22.15589567090947,51.759312930159595,-22.811782568011367,73.08454158519571,-31.427734216577342,64.20572648874261,-27.840460063269184,13.423889444665122,22.999999999999996,29.018154836137576,0.0,6.852475920027246e-07
little,6.5,0.16666666666666666,91.32426245277036,-22.125579888990835,0.0,-1.0,33.394054396001444,-7.390393649603802,55.24758719229226,-14.561384119646393,76.2862562096695,-23.8551673093518,51.20681189242034,-23.708631518506063,72.24548090979759,-33.00241470821147,63.12576670986193,-28.973802135036163,13.030099982785474,22.999999999999996,29.018154836137576,0.0,6.557900071868517e-07
little,7.0,0.1794871794871795,90.47932722753637,-24.330948340932565,0.0,-1.0,33.29758114002875,-7.87539745928929,54.96973221009074,-15.577206856853646,75.70030292333638,-25.539306931793796,50.63838435142111,-24.59049847130827,71.36895506466675,-34.55259854624842,62.033647529352656,-30.066505559058214,12.64273216197394,22.999999999999996,29.018154836137576,0.0,6.286214819795077e-07
little,7.5,0.19230769230769232,89.57920136883328,-26.50266423475072,0.0,-1.0,33.19406424207774,-8.358946873895498,54.671942217613854,-16.586993888101276,75.07319138071296,-27.207211992507055,50.05445608526351,-25.457102219883495,70.45570524836262,-36.077320324289275,60.930568643626486,-31.118848055859313,12.261532950384726,22.999999999999996,29.018154836137576,0.0,6.034492052719997e-07
little,8.0,0.20512820512820512,88.62510229562267,-28.639826190280477,0.0,-1.0,33.08352559971401,-8.840939605242966,54.35435467299169,-17.59032990030952,74.40539618801722,-28.857793419785523,49.45545749061082,-26.308174037277144,69.50649900563636,-37.57563755675315,59.8177422727953,-32.13114665813536,11.886292779935909,22.999999999999996,29.018154836137576,0.0,5.800265370226043e-07
little,8.5,0.21794871794871795,87.61823414862405,-30.741552988173517,0.0,-1.0,32.96598859585595,-9.321273694447008,54.017116119213185,-18.586802821018864,73.69742241879544,-30.48997651355242,48.841823209415985,-27.143457733880716,68.52212950899825,-39.04663142641427,58.69638621464703,-33.10376004471266,11.516840524231322,22.999999999999996,29.018154836137576,0.0,5.581453557113036e-07
