finger,q_deg,curl_progress,h_x_mm,h_y_mm,hand_mcp_x_mm,hand_mcp_y_mm,hand_pip_x_mm,hand_pip_y_mm,hand_dip_x_mm,hand_dip_y_mm,hand_tip_x_mm,hand_tip_y_mm,slot_start_x_mm,slot_start_y_mm,slot_end_x_mm,slot_end_y_mm,slider_x_mm,slider_y_mm,slider_translation_mm,slot_length_mm,rod_length_mm,rod_error_mm,mechanism_residual_mm
middle,0.0,0.0,96.69943806967777,9.172111200234136,0.0,-1.0,49.0,-1.0,76.0,-1.0,103.0,-1.0,76.0,-11.0,103.0,-11.0,76.0,-11.0,0.0,27.0,29.018154836137576,0.11519985442270197,7.105427357601002e-15
middle,0.5,0.01282051282051282,96.69181043467647,6.616417486734771,0.0,-1.0,48.99832068339761,-1.4056725365732894,75.98922593071192,-2.1064106691882487,102.97540509455818,-2.970201232224391,75.66930349995779,-12.101291840983157,102.65548266380405,-12.965082404019299,75.66930349995779,-12.101291840983157,0.0,27.0,29.018154836137576,0.8703584695082043,1.3374110281461071e-06
middle,1.0,0.02564102564102564,96.61099994067094,4.081999545379166,0.0,-1.0,48.99328284869674,-1.8113172669169542,75.95690996495594,-3.212321455108831,102.90164076963813,-4.9390182620816425,75.31739262904009,-13.191851382768906,102.26212343372228,-14.918548189741717,75.31739262904009,-13.191851382768906,0.0,27.0,29.018154836137576,1.599116956776804,1.2327058200867214e-06
middle,1.5,0.038461538461538464,96.45866940260322,1.569724284303205,0.0,-1.0,48.98488684120839,-2.2169063867073073,75.90307082492127,-4.317232794431419,102.7787681808351,-6.905068112477466,74.94461329971904,-14.271194778103208,101.82031065563287,-16.859030096149255,74.94461329971904,-14.271194778103208,0.0,27.0,29.018154836137576,2.30131881950269,1.1424828088024697e-06
middle,2.0,0.05128205128205128,96.23639959920116,-0.9194981274391236,0.0,-1.0,48.97313323642459,-2.622412095432405,75.82773970047413,-5.420645763485976,102.60688919208819,-8.86697025572203,74.55132322186817,-15.338849278898593,101.33047271348224,-18.785173771134648,74.55132322186817,-15.338849278898593,0.0,27.0,29.018154836137576,2.976645180976245,1.0641441896552806e-06
middle,2.5,0.0641025641025641,95.94570505678243,-3.384726177885098,0.0,-1.0,48.95802283997895,-3.0278065982975937,75.7309602284939,-6.5220623975570895,102.38614628266299,-10.823347835380199,74.13789154781867,-16.394353528730832,100.79307760198776,-20.69563896655394,74.13789154781867,-16.394353528730832,0.0,27.0,29.018154836137576,3.6246294044529144,9.956282447376452e-07
middle,3.0,0.07692307692307693,95.58804581973467,-5.824996140885832,0.0,-1.0,48.93955668759146,-3.433062108130662,75.61278846396307,-7.620986009535729,102.11672241705,-12.772828884702438,73.70469851019762,-17.43725784401237,100.20863246328454,-22.58910071917908,73.70469851019762,-17.43725784401237,0.0,27.0,29.018154836137576,4.244670799132972,9.352856480404625e-07
middle,3.5,0.08974358974358974,95.16483696913605,-8.239329890238428,0.0,-1.0,48.9177360449975,-3.838150847286472,75.47329284283066,-8.716921507714904,101.79884087790242,-14.714047540501694,73.25213505290962,-18.467124483667412,99.57768308798138,-24.4642505164542,73.25213505290962,-18.467124483667412,0.0,27.0,29.018154836137576,4.836048072772883,8.817864625143557e-07
middle,4.0,0.10256410256410256,94.67745629106628,-10.626741592823569,0.0,-1.0,48.892562407861,-4.243045049550938,75.3125541366737,-9.809375712516308,101.43276506217103,-16.645645251345954,72.78060245562568,-19.483527907144946,98.90081338112302,-26.319797445974594,72.78060245562568,-19.483527907144946,0.0,27.0,29.018154836137576,5.397933166809409,8.340504713544306e-07
middle,4.5,0.11538461538461539,94.12725041805382,-12.986243434647644,0.0,-1.0,48.86403750167207,-4.64771696204422,75.1306653991879,-10.897857671935682,101.01879824062911,-18.566271978941593,72.29051195214868,-20.486055020617613,98.17864479358988,-28.154469327623524,72.29051195214868,-20.486055020617613,0.0,27.0,29.018154836137576,5.929406046881137,7.911944948091332e-07
middle,5.0,0.1282051282051282,93.51553970669241,-15.316850503638454,0.0,-1.0,48.8321632816286,-5.052138847123005,74.92773190454278,-11.981878975495578,100.55728328101469,-20.474587391589147,71.78228434302665,-21.474305411225917,97.41183571949855,-29.967013827319484,71.78228434302665,-21.474305411225917,0.0,27.0,29.018154836137576,6.429470951473565,7.524921770141191e-07
middle,5.5,0.14102564102564102,92.8436220672313,-17.617584930132587,0.0,-1.0,48.7969419325023,-5.456282984281743,74.70387107764313,-13.06095406649516,100.04860233505181,-22.369262048600802,71.25634960278919,-22.447891569239115,96.60108086019787,-31.756199551344757,71.25634960278919,-22.447891569239115,0.0,27.0,29.018154836137576,6.8970745125670945,7.173428713258545e-07
middle,6.0,0.15384615384615385,92.11277592362867,-19.887479368405142,0.0,-1.0,48.75837586848893,-5.860121672052707,74.45921241634376,-14.134600552347802,99.49317648964703,-24.24897857457743,70.71314648218464,-23.406439098015674,95.74711055548791,-33.520817120245304,70.71314648218464,-23.406439098015674,0.0,27.0,29.018154836137576,7.331126044490276,6.852475920027246e-07
middle,6.5,0.16666666666666666,91.32426245277036,-22.125579888990835,0.0,-1.0,48.71646773304285,-6.2636272299047535,74.1938974056696,-15.20233951279862,98.89146538259072,-26.112432822452796,70.15312210579769,-24.349586911658292,94.85069008271881,-35.259680221312465,70.15312210579769,-24.349586911658292,0.0,27.0,29.018154836137576,7.73052014300908,6.557900071868517e-07
