dimension_id,body_id,node_1,node_2,body_role,value,units,value_source,uncertainty_mm,confidence
L_ab,input_crank,a,b,actuated crank,41.21262052403357,mm,co_optimization_candidate,,high
L_bc,loop_1_coupler,b,c,first-stage coupler,55.49547660333985,mm,co_optimization_candidate,,high
L_cd,central_body,c,d,rigid CDG body,18.01317331092241,mm,co_optimization_candidate,,high
L_ad,ground,a,d,fixed ADE frame,53.086947856021716,mm,co_optimization_candidate,,high
L_ae,ground,a,e,fixed ADE frame,68.0193254685869,mm,co_optimization_candidate,,high
L_de,ground,d,e,fixed ADE frame,16.600139225279275,mm,co_optimization_candidate,,high
L_cg,central_body,c,g,rigid CDG body,51.377253887887335,mm,co_optimization_candidate,,high
L_dg,central_body,d,g,rigid CDG body,54.98622848521524,mm,co_optimization_candidate,,high
L_ef,link_ef,e,f,lower distal coupler,29.719502246514605,mm,co_optimization_candidate,,high
L_fg,distal_body,f,g,rigid FGH distal output body,30.243037220089587,mm,co_optimization_candidate,,high
L_gh,distal_body,g,h,rigid FGH distal output body,52.24451640290604,mm,co_optimization_candidate,,high
L_fh,distal_body,f,h,rigid FGH distal output body,55.71330726166383,mm,co_optimization_candidate,,high
