q_deg,input_torque_Nm,input_torque_mNm,body:input_crank_Nm,body:loop_1_coupler_Nm,body:central_body_Nm,body:link_ef_Nm,body:distal_body_Nm,point:joint_b_Nm,point:joint_c_Nm,point:joint_f_Nm,point:joint_g_Nm
0,-0.019565997163,-19.565997163,-2.06528169566e-10,0.000135555068026,-0.0029341565924,-0.000487492347011,-0.0100540192878,-2.47833836786e-10,0.000203332849873,-0.00292495408207,-0.00350426231725
0.5,-0.0194746465242,-19.4746465242,-8.8171422573e-06,0.000108686253065,-0.0029660550971,-0.000472793062698,-0.00995151320728,-1.05805707088e-05,0.000173609950307,-0.00283675837619,-0.00351042527136
1,-0.0193826781094,-19.3826781094,-1.76335878593e-05,8.21045619384e-05,-0.00299763225315,-0.000458210302728,-0.00984854474867,-2.11603054311e-05,0.000144317148339,-0.00274926181637,-0.00351665680547
1.5,-0.019289426458,-19.289426458,-2.64487040462e-05,5.60674438013e-05,-0.00302858133991,-0.000443856948017,-0.00974456936229,-3.17384448554e-05,0.000115839610557,-0.0026631416881,-0.00352299702511
2,-0.0191948258785,-19.1948258785,-3.52618060388e-05,3.05194869883e-05,-0.00305893101228,-0.000429727345536,-0.00963944613104,-4.23141672466e-05,8.80933977291e-05,-0.00257836407322,-0.00352939422784
2.5,-0.0190988574464,-19.0988574464,-4.40722226893e-05,5.41228718427e-06,-0.00308870775221,-0.000415818507881,-0.00953307384028,-5.28866672271e-05,6.10050980035e-05,-0.00249491104729,-0.00353580479404
3,-0.0190015330197,-19.0015330197,-5.28792830532e-05,-1.92968911159e-05,-0.00311793511348,-0.000402129280435,-0.00942538111903,-6.34551396638e-05,3.45098029901e-05,-0.00241277568261,-0.00354219031334
3.5,-0.018902889001,-18.902889001,-6.16823164414e-05,-4.36459717414e-05,-0.00314663411607,-0.000388659920025,-0.00931632145627,-7.40187797297e-05,8.54982211761e-06,-0.00233195952015,-0.00354851674266
4,-0.0188029811023,-18.8029811023,-7.04806524708e-05,-6.76687734353e-05,-0.00317482357453,-0.000375411746487,-0.00920586900046,-8.4576782965e-05,-1.69263771879e-05,-0.00225247047892,-0.00355475371583
4.5,-0.018701879923,-18.701879923,-7.92736211157e-05,-9.13955964149e-05,-0.00320252037313,-0.000362386853647,-0.00909401498888,-9.51283453388e-05,-4.19650492835e-05,-0.00217432112188,-0.00356087397332
5,-0.0185996671932,-18.5996671932,-8.80605527588e-05,-0.000114853712511,-0.00322973969753,-0.000349587869243,-0.00898076468917,-0.000105672663311,-6.66079054559e-05,-0.00209752721546,-0.00356685288773
5.5,-0.0184964325696,-18.4964325696,-9.68407782424e-05,-0.000138067777304,-0.00325649523089,-0.000337017755541,-0.00886613476215,-0.000116208933891,-9.08927320649e-05,-0.00202210653325,-0.00357266806624
6,-0.018392270895,-18.392270895,-0.000105613628919,-0.000161060178747,-0.00328279932046,-0.000324679644114,-0.00875015097466,-0.000126736354703,-0.000114853913417,-0.00194807786469,-0.00357829901525
6.5,-0.0182872798494,-18.2872798494,-0.000114378436704,-0.000183851333763,-0.00330866311983,-0.000312576699498,-0.00863284620648,-0.000137254124045,-0.0001385228766,-0.00187546019699,-0.00358372685546
7,-0.0181815579364,-18.1815579364,-0.000123134534122,-0.000206459941989,-0.00333409671052,-0.000300712007446,-0.00851425870654,-0.000147761440947,-0.000161928472037,-0.00180427204468,-0.00358893407816
7.5,-0.0180752027584,-18.0752027584,-0.000131881254365,-0.000228903204036,-0.00335910920632,-0.000289088484229,-0.0083944305627,-0.000158257505238,-0.000185097300816,-0.00173453090538,-0.00359390433529
8,-0.0179683095408,-17.9683095408,-0.000140617931335,-0.000251197010243,-0.00338370884294,-0.000277708804043,-0.00827340635539,-0.000168741517602,-0.000208053997762,-0.00166625282426,-0.00359862225722
8.5,-0.0178609698755,-17.8609698755,-0.000149343899702,-0.000273356104773,-0.00340790305508,-0.000266575342014,-0.00815123197138,-0.000179212679642,-0.000230821477517,-0.00159945205208,-0.00360307329335
9,-0.0177532706539,-17.7532706539,-0.000158058494949,-0.000295394229049,-0.00343169854273,-0.000255690130693,-0.00802795355716,-0.000189670193939,-0.000253421149635,-0.00153414078416,-0.0036072435716
9.5,-0.0176452931666,-17.6452931666,-0.000166761053427,-0.000317324247802,-0.00345510132799,-0.000245054828194,-0.00790361659489,-0.000200113264113,-0.000275873107591,-0.00147032896917,-0.00361111977339
10,-0.0175371123499,-17.5371123499,-0.000175450912403,-0.000339158260457,-0.00347811680381,-0.000234670696407,-0.00777826508629,-0.000210541094883,-0.000298196295802,-0.00140802417844,-0.00361468902137
10.5,-0.0174287961601,-17.4287961601,-0.000184127410109,-0.000360907700129,-0.00350074977545,-0.00022453858787,-0.00765194083146,-0.000220952892131,-0.000320408658063,-0.00134723152722,-0.00361793877767
11,-0.0173204050594,-17.3204050594,-0.000192789885798,-0.000382583422143,-0.00352300449555,-0.000214658940104,-0.00752468279137,-0.000231347862958,-0.000342527270258,-0.00128795364062,-0.00362085675062
11.5,-0.0172119915986,-17.2119915986,-0.000201437679788,-0.000404195783672,-0.00354488469339,-0.000205031776316,-0.00739652652373,-0.000241725215746,-0.000364568459761,-0.00123019065789,-0.0036234308083
12,-0.0171036000833,-17.1036000833,-0.000210070133517,-0.000425754715867,-0.00356639359899,-0.00019565671152,-0.00726750368298,-0.000252084160221,-0.00038654791358,-0.00117394026912,-0.00362564889748
12.5,-0.0169952663113,-16.9952663113,-0.00021868658959,-0.000447269789666,-0.00358753396242,-0.000186532963231,-0.00713764157582,-0.000262423907508,-0.000408480776991,-0.00111919777939,-0.00362749896671
13,-0.0168870173694,-16.8870173694,-0.00022728639183,-0.000468750276258,-0.00360830806857,-0.000177659365971,-0.00700696276424,-0.000272743670196,-0.000430381744191,-0.00106595619582,-0.0036289688923
13.5,-0.0167788714785,-16.7788714785,-0.00023586888533,-0.000490205203112,-0.00362871774787,-0.000169034388936,-0.00687548470858,-0.000283042662396,-0.000452265142273,-0.00101420633361,-0.00363004640639
14,-0.0166708378782,-16.6708378782,-0.000244433416498,-0.000511643406326,-0.00364876438291,-0.000160656156231,-0.00674321944337,-0.000293320099798,-0.000474145009692,-0.000963936937388,-0.00363071902595
14.5,-0.0165629167393,-16.5629167393,-0.000252979333114,-0.000533073579976,-0.00366844891126,-0.000152522469159,-0.00661017327896,-0.000303575199736,-0.000496035170228,-0.000915134814952,-0.00363097398195
15,-0.0164550990976,-16.4550990976,-0.000261505984371,-0.000554504323089,-0.00368777182447,-0.00014463083011,-0.00647634652233,-0.000313807181246,-0.000517949303388,-0.000867784980663,-0.00363079814789
15.5,-0.0163473667969,-16.3473667969,-0.000270012720934,-0.000575944184791,-0.00370673316326,-0.000136978467687,-0.0063417332102,-0.00032401526512,-0.000539901012066,-0.000821870806121,-0.00363017796668
16,-0.0162396924366,-16.2396924366,-0.00027849889498,-0.000597401708143,-0.00372533250894,-0.000129562362702,-0.00620632084805,-0.000334198673975,-0.00056190388824,-0.000777374176215,-0.00362909937532
16.5,-0.0161320393122,-16.1320393122,-0.000286963860254,-0.000618885473156,-0.00374356897089,-0.000122379274812,-0.0060700901481,-0.000344356632305,-0.000583971577429,-0.00073427564887,-0.00362754772634
17,-0.016024361342,-16.024361342,-0.000295406972117,-0.00064040413943,-0.00376144116991,-0.000115425769526,-0.00593301475959,-0.00035448836654,-0.000606117842605,-0.000692554617157,-0.00362550770517
17.5,-0.0159166029721,-15.9166029721,-0.000303827587592,-0.000661966488889,-0.00377894721734,-0.000108698245452,-0.00579506098423,-0.000364593105111,-0.000628356628222,-0.000652189472715,-0.0036229632426
18,-0.0158086990495,-15.8086990495,-0.000312225065418,-0.000683581469028,-0.00379608468957,-0.000102192961618,-0.00565618746931,-0.000374670078501,-0.000650702125041,-0.000613157769708,-0.00361989742132
18.5,-0.0157005746563,-15.7005746563,-0.000320598766092,-0.000705258237146,-0.00381285059764,-9.59060648066e-05,-0.00551634487062,-0.000384718519311,-0.000673168836409,-0.00057543638884,-0.0036162923754
19,-0.0155921448948,-15.5921448948,-0.000328948051926,-0.000727006206007,-0.00382924135154,-8.98336168616e-05,-0.00537547547655,-0.000394737662311,-0.000695771646699,-0.00053900170117,-0.00361212918169
19.5,-0.0154833146136,-15.4833146136,-0.000337272287089,-0.000748835091423,-0.00384525271857,-8.39716219666e-05,-0.00523351278393,-0.000404726744506,-0.000718525892628,-0.000503829731799,-0.00360738774168
20,-0.0153739780641,-15.3739780641,-0.000345570837656,-0.000770754962273,-0.00386087977538,-7.83160539539e-05,-0.00509038101516,-0.000414685005187,-0.000741447438222,-0.000469896323723,-0.00360204665257
20.5,-0.0152640184748,-15.2640184748,-0.000353843071662,-0.000792776293515,-0.00387611685273,-7.28628837428e-05,-0.0049459945647,-0.000424611685994,-0.000764552754279,-0.000437177302457,-0.00359608306568
21,-0.0151533075298,-15.1533075298,-0.000362088359143,-0.000814910022794,-0.00389095747239,-6.7608107057e-05,-0.00480025736134,-0.000434506030971,-0.00078785900322,-0.000405648642342,-0.00358947253055
21.5,-0.015041704737,-15.041704737,-0.000370306072187,-0.00083716761133,-0.00390539427495,-6.25477726297e-05,-0.00465306213062,-0.000444367286625,-0.000811384130371,-0.000375286635778,-0.00358218882252
22,-0.0149290566655,-14.9290566655,-0.000378495584984,-0.00085956110985,-0.00391941893756,-5.76780111648e-05,-0.00450428953884,-0.000454194701981,-0.000835146962793,-0.000346068066989,-0.00357420375131
22.5,-0.0148151960326,-14.8151960326,-0.00038665627387,-0.000882103230404,-0.00393302208018,-5.2995065396e-05,-0.00435380719682,-0.000463987528644,-0.000859167316962,-0.000317970392376,-0.0035654869479
23,-0.0146999406142,-14.6999406142,-0.000394787517375,-0.000904807425066,-0.00394619315876,-4.84953216688e-05,-0.00420146849744,-0.00047374502085,-0.000883466116749,-0.000290971930013,-0.00355600562633
23.5,-0.0145830919482,-14.5830919482,-0.000402888696273,-0.000927687972631,-0.00395892034344,-4.41753435708e-05,-0.00404711125515,-0.000483466435527,-0.00090806552342,-0.000265052061425,-0.00354572431675
24,-0.014464433792,-14.464433792,-0.000410959193626,-0.000950760074619,-0.00397119037964,-4.00319082577e-05,-0.00389055610922,-0.000493151032351,-0.000932989079577,-0.000240191449546,-0.00353460456512
24.5,-0.0143437302909,-14.3437302909,-0.000418998394833,-0.000974039962091,-0.00398298842932,-3.60620462705e-05,-0.0037316046431,-0.0005027980738,-0.000958261869336,-0.000216372277623,-0.00352260459452
25,-0.0142207237987,-14.2207237987,-0.000427005687677,-0.000997545015078,-0.00399429788939,-3.2263085827e-05,-0.00357003716138,-0.000512406825212,-0.000983910697405,-0.000193578514962,-0.00350967892175
25.5,-0.0140951322797,-14.0951322797,-0.000434980462368,-0.00102129389669,-0.00400510018355,-2.86327028037e-05,-0.0034056100504,-0.000521976554842,-0.00100996429019,-0.000171796216822,-0.00349577792205
26,-0.0139666462038,-13.9666462038,-0.000442922111594,-0.00104530670437,-0.00401537452315,-2.51689779191e-05,-0.00323805262952,-0.000531506533913,-0.00103645352265,-0.000151013867515,-0.00348084733319
26.5,-0.0138349248192,-13.8349248192,-0.000450830030565,-0.00106960514135,-0.00402509763174,-2.18704630133e-05,-0.00306706337385,-0.000540996036678,-0.00106341167535,-0.00013122277808,-0.0034648276886
27,-0.0136995916567,-13.6995916567,-0.000458703617058,-0.00109421271162,-0.0040342434271,-1.87362588044e-05,-0.00289230535485,-0.00055044434047,-0.00109087472696,-0.000112417552826,-0.00344765366705
27.5,-0.0135602290736,-13.5602290736,-0.000466542271464,-0.00111915494289,-0.00404278265282,-1.57661071445e-05,-0.00271340069814,-0.000559850725757,-0.00111888168858,-9.45966428672e-05,-0.00342925334397
28,-0.0134163715847,-13.4163715847,-0.000474345396834,-0.00114445964255,-0.00405068245033,-1.29605016332e-05,-0.00252992379371,-0.000569214476201,-0.00114747498763,-7.77630097995e-05,-0.00340954732602
28.5,-0.0132674976429,-13.2674976429,-0.000482112398923,-0.00117015719289,-0.00405790585984,-1.03208215535e-05,-0.00234139290418,-0.000578534878707,-0.00117670091063,-6.19249293207e-05,-0.00338844774684
29,-0.0131130194119,-13.1130194119,-0.000489842686233,-0.00119628089322,-0.00406441123618,-7.84949557162e-06,-0.00214725969065,-0.000587811223479,-0.00120661011636,-4.70969734297e-05,-0.00336585709682
