q_deg,max_residual_mm,a_x_mm,a_y_mm,b_x_mm,b_y_mm,c_x_mm,c_y_mm,d_x_mm,d_y_mm,e_x_mm,e_y_mm,f_x_mm,f_y_mm,g_x_mm,g_y_mm,h_x_mm,h_y_mm
0,7.105427358e-15,-53.08694786,0,-53.08694786,41.21262052,-2.77266492,17.79850392,0,0,14.43707017,8.19363334,42.20233335,-2.405374835,47.71242901,27.33147345,96.69943807,9.1721112
0.5,1.337411028e-06,-53.08694786,0,-52.72730442,41.21105126,-2.386315105,17.85440896,0,0,14.43707017,8.19363334,41.86088043,-3.259904269,48.29350617,26.29111313,96.69181043,6.616417487
1,1.23270582e-06,-53.08694786,0,-52.36768842,41.20634363,-2.002699691,17.90149748,0,0,14.43707017,8.19363334,41.50002767,-4.088272792,48.84646518,25.24892474,96.61099994,4.081999545
1.5,1.142482809e-06,-53.08694786,0,-52.00812719,41.19849798,-1.621706788,17.94002465,0,0,14.43707017,8.19363334,41.12122268,-4.890895168,49.37215552,24.20486758,96.4586694,1.569724284
2,1.06414419e-06,-53.08694786,0,-51.64864811,41.1875149,-1.243240562,17.97021896,0,0,14.43707017,8.19363334,40.72583576,-5.668173196,49.87133318,23.15891787,96.2363996,-0.9194981274
2.5,9.956282447e-07,-53.08694786,0,-51.28927857,41.17339523,-0.8672188696,17.99228578,0,0,14.43707017,8.19363334,40.31516776,-6.42050152,50.34467325,22.11106559,95.94570506,-3.384726178
3,9.35285648e-07,-53.08694786,0,-50.93004592,41.15614005,-0.4935716288,18.00641005,0,0,14.43707017,8.19363334,39.89045562,-7.148271304,50.79277945,21.06131283,95.58804582,-5.824996141
3.5,8.817864625e-07,-53.08694786,0,-50.57097754,41.13575067,-0.1222394352,18.01275861,0,0,14.43707017,8.19363334,39.45287697,-7.851873082,51.21619228,20.00967236,95.16483697,-8.23932989
4,8.340504714e-07,-53.08694786,0,-50.21210075,41.11222865,0.2468276058,18.0114822,0,0,14.43707017,8.19363334,39.00355391,-8.531698932,51.61539586,18.95616646,94.67745629,-10.62674159
4.5,7.911944948e-07,-53.08694786,0,-49.85344289,41.08557576,0.6136708734,18.00271709,0,0,14.43707017,8.19363334,38.54355631,-9.188144087,51.99082386,17.90082593,94.12725042,-12.98624343
