q_deg,input_torque_Nm,input_torque_mNm,body:input_crank_Nm,body:loop_1_coupler_Nm,body:central_body_Nm,body:link_eh_Nm,body:distal_body_Nm,point:joint_b_Nm,point:joint_c_Nm,point:joint_f_Nm,point:joint_h_Nm
0,-0.00680019689156,-6.80019689156,4.24466932789e-05,3.25506074049e-05,-0.00110241764752,-0.000178602313985,-0.00333327528508,5.09360319347e-05,-2.11012082732e-06,-0.00123811097285,-0.00107161388391
0.5,-0.00685189528574,-6.85189528574,3.72579687422e-05,2.36061359643e-05,-0.00111578556719,-0.000177814862809,-0.00334171932773,4.47095624907e-05,-9.30035854421e-06,-0.00124595965981,-0.00106688917685
1,-0.00690310505387,-6.90310505387,3.20679244632e-05,1.46583496986e-05,-0.00112911551688,-0.000177007330045,-0.00334988978345,3.84815093558e-05,-1.6493984808e-05,-0.00125376224194,-0.00106204398027
1.5,-0.00695333683274,-6.95333683274,2.68754382291e-05,5.70410481615e-06,-0.00114236936532,-0.000176159901719,-0.00335751140316,3.22505258749e-05,-2.36943686506e-05,-0.0012614724525,-0.00105695941031
2,-0.00700258939342,-7.00258939342,2.16809053263e-05,-3.25625561202e-06,-0.0011555467964,-0.000175273129099,-0.00336458098348,2.60170863915e-05,-3.09014698095e-05,-0.00126908997613,-0.00105163877459
2.5,-0.0070508619491,-7.0508619491,1.64847213386e-05,-1.22223872668e-05,-0.00116864750226,-0.000174347591883,-0.00337109554857,1.97816656063e-05,-3.81152465065e-05,-0.00127661450826,-0.0010460855513
3,-0.00709815410801,-7.09815410801,1.12872819755e-05,-2.1193945545e-05,-0.00118167117897,-0.000173383894322,-0.00337705233785,1.35447383707e-05,-4.53356566881e-05,-0.00128404574904,-0.00104030336593
3.5,-0.00714446587634,-7.14446587634,6.0889830423e-06,-3.01705859671e-05,-0.00119461752737,-0.000172382664752,-0.00338244881019,7.30677965076e-06,-5.25626586014e-05,-0.00129138340363,-0.00103429598851
4,-0.00718979766049,-7.18979766049,8.90220409416e-07,-3.91519645813e-05,-0.00120748625375,-0.000171344555076,-0.00338728264763,1.0682644913e-06,-5.97962113632e-05,-0.00129862718253,-0.00102806733045
4.5,-0.00723415026846,-7.23415026846,-4.30861001719e-06,-4.81377383641e-05,-0.0012202770707,-0.000170270240193,-0.00339155175866,-5.17033202063e-06,-6.70362755256e-05,-0.00130577680182,-0.00102162144116
5,-0.00727752491049,-7.27752491049,-9.50711232645e-06,-5.71275656197e-05,-0.00123298969777,-0.000169160417391,-0.00339525428114,-1.14085347917e-05,-7.42828136378e-05,-0.00131283198347,-0.00101496250435
5.5,-0.00731992319894,-7.31992319894,-1.47048906323e-05,-6.61211063772e-05,-0.00124562386226,-0.000168015805688,-0.00339838858473,-1.76458687588e-05,-8.15357908071e-05,-0.00131979245556,-0.00100809483413
6,-0.00736134714731,-7.36134714731,-1.99015491038e-05,-7.51180227886e-05,-0.00125817929992,-0.000166837145124,-0.00340095327285,-2.38818589246e-05,-8.87951752584e-05,-0.0013266579526,-0.00100102287074
