q_deg,max_residual_mm,a_x_mm,a_y_mm,b_x_mm,b_y_mm,c_x_mm,c_y_mm,d_x_mm,d_y_mm,e_x_mm,e_y_mm,f_x_mm,f_y_mm,h_x_mm,h_y_mm,i_x_mm,i_y_mm
0,1.971116603e-10,0,-0,-1.731303315,24.23824641,39.23811639,14.99126589,39.17695473,-5.308641975,49.05349794,-0.9053497942,75.02402113,15.99576673,71.25907042,-3.850269299,107.8465706,6.037340745
0.5,1.725749854e-08,0,-0,-1.519721475,24.25243177,39.44611134,14.98957358,39.17695473,-5.308641975,49.05349794,-0.9053497942,75.24042991,15.62734997,71.21469838,-4.167434347,107.9291193,5.237952216
1,1.732180266e-08,0,-0,-1.308023901,24.26477021,39.6541508,14.98574848,39.17695473,-5.308641975,49.05349794,-0.9053497942,75.45312616,15.25660509,71.16591534,-4.483197937,108.0015322,4.435733273
1.5,1.738415278e-08,0,-0,-1.096226717,24.2752608,39.86221803,14.97978858,39.17695473,-5.308641975,49.05349794,-0.9053497942,75.6620887,14.88355947,71.11276484,-4.797488588,108.0637252,3.630828542
2,1.744480471e-08,0,-0,-0.8843460513,24.28390274,40.07029629,14.97169187,39.17695473,-5.308641975,49.05349794,-0.9053497942,75.86729634,14.50824054,71.05529183,-5.110235772,108.1156165,2.823384984
2.5,1.750406398e-08,0,-0,-0.6723980389,24.29069536,40.27836875,14.96145638,39.17695473,-5.308641975,49.05349794,-0.9053497942,76.06872784,14.13067585,70.99354266,-5.421369973,108.1571262,2.013551849
3,1.756217216e-08,0,-0,-0.4603988207,24.29563815,40.48641856,14.94908012,39.17695473,-5.308641975,49.05349794,-0.9053497942,76.26636193,13.75089301,70.92756504,-5.730822725,108.1881766,1.20148063
3.5,1.761949164e-08,0,-0,-0.2483645414,24.29873073,40.69442882,14.93456114,39.17695473,-5.308641975,49.05349794,-0.9053497942,76.46017734,13.36891976,70.85740804,-6.038526663,108.2086922,0.3873250075
4,1.767629243e-08,0,-0,-0.03631134821,24.29997287,40.9023826,14.91789749,39.17695473,-5.308641975,49.05349794,-0.9053497942,76.65015276,12.98478388,70.78312205,-6.344415558,108.2186,-0.4287592046
4.5,1.773292979e-08,0,-0,0.1757446103,24.29936447,41.11026291,14.89908723,39.17695473,-5.308641975,49.05349794,-0.9053497942,76.83626687,12.59851328,70.70475876,-6.648424363,108.2178291,-1.246614114
5,1.778974479e-08,0,-0,0.3877871851,24.29690559,41.31805273,14.87812843,39.17695473,-5.308641975,49.05349794,-0.9053497942,77.01849832,12.21013591,70.6223711,-6.950489254,108.2063111,-2.066079811
5.5,1.78470998e-08,0,-0,0.5998002284,24.2925964,41.525735,14.85501918,39.17695473,-5.308641975,49.05349794,-0.9053497942,77.19682574,11.81967985,70.53601326,-7.250547667,108.1839801,-2.886994429
6,1.790538562e-08,0,-0,0.8117675947,24.28643723,41.73329262,14.82975758,39.17695473,-5.308641975,49.05349794,-0.9053497942,77.37122774,11.4271732,70.44574061,-7.548538334,108.1507726,-3.70919421
6.5,1.796495042e-08,0,-0,1.023673142,24.27842856,41.94070845,14.80234172,39.17695473,-5.308641975,49.05349794,-0.9053497942,77.54168289,11.0326442,70.35160969,-7.844401327,108.1066279,-4.532513568
7,1.802621341e-08,0,-0,1.235500732,24.26857099,42.14796532,14.77276973,39.17695473,-5.308641975,49.05349794,-0.9053497942,77.70816974,10.63612112,70.25367817,-8.138078084,108.0514878,-5.356785159
7.5,1.808959382e-08,0,-0,1.447234234,24.25686528,42.35504601,14.74103971,39.17695473,-5.308641975,49.05349794,-0.9053497942,77.87066682,10.23763233,70.1520048,-8.429511453,107.9852967,-6.181839947
