q_deg,input_torque_Nm,input_torque_mNm,link 1_Nm,link 2_Nm,link 3_Nm,joint R12_Nm,joint R23_Nm,joint T3_Nm,rod P0-B2_Nm,rod A1-C3_Nm,TCP payload_Nm
0,-0.0175190467723,-17.5190467723,-0.00098064842328,-0.00278316003706,-0.00388218673094,-0.00117677810794,-0.00299796194765,-0.00476641151424,-0.000221424069059,-0.000710475942155,0
0.1,-0.0175083785239,-17.5083785239,-0.000980635189781,-0.00278152157172,-0.00387916686758,-0.00117676222774,-0.00299552012984,-0.00476281360532,-0.00022111728036,-0.00071084165154,0
0.2,-0.0174976307427,-17.4976307427,-0.000980620462699,-0.00277987405682,-0.00387612573739,-0.00117674455524,-0.00299306653,-0.00475918494478,-0.000220810587854,-0.000711203867911,-0
0.3,-0.0174867241003,-17.4867241003,-0.000980602748478,-0.00277820846836,-0.00387304213161,-0.00117672329817,-0.00299058940437,-0.00475549485885,-0.000220504085416,-0.000711559105005,0
0.4,-0.0174756590058,-17.4756590058,-0.00098058204717,-0.0027765248575,-0.0038699161666,-0.0011766984566,-0.00298808882964,-0.00475174350356,-0.00022019776847,-0.000711907376248,0
0.5,-0.0174644358699,-17.4644358699,-0.000980558358839,-0.00277482327554,-0.00386674795915,-0.00117667003061,-0.0029855648827,-0.00474793103559,-0.000219891632557,-0.000712248694904,0
0.6,-0.0174530551045,-17.4530551045,-0.000980531683558,-0.00277310377393,-0.00386353762645,-0.00117663802027,-0.00298301764063,-0.00474405761227,-0.000219585673335,-0.000712583074086,0
0.7,-0.0174415171231,-17.4415171231,-0.000980502021407,-0.00277136640427,-0.00386028528615,-0.00117660242569,-0.00298044718072,-0.00474012339157,-0.000219279886571,-0.000712910526752,0
0.8,-0.0174298223404,-17.4298223404,-0.000980469372477,-0.00276961121828,-0.00385699105627,-0.00117656324697,-0.00297785358045,-0.00473612853209,-0.000218974268146,-0.000713231065716,0
0.9,-0.0174179711725,-17.4179711725,-0.000980433736867,-0.00276783826782,-0.00385365505528,-0.00117652048424,-0.00297523691749,-0.00473207319306,-0.000218668814043,-0.000713544703648,0
1,-0.0174059640366,-17.4059640366,-0.000980395114685,-0.00276604760486,-0.00385027740201,-0.00117647413762,-0.00297259726967,-0.00472795753435,-0.000218363520353,-0.000713851453078,0
1.1,-0.0173938013516,-17.3938013516,-0.000980353506051,-0.0027642392815,-0.00384685821571,-0.00117642420726,-0.002969934715,-0.00472378171643,-0.000218058383269,-0.000714151326403,0
1.2,-0.0173814835374,-17.3814835374,-0.000980308911089,-0.00276241334997,-0.00384339761602,-0.00117637069331,-0.00296724933164,-0.00471954590039,-0.000217753399082,-0.000714444335886,0
1.3,-0.0173690110151,-17.3690110151,-0.000980261329937,-0.00276056986257,-0.00383989572294,-0.00117631359592,-0.00296454119793,-0.00471525024794,-0.000217448564182,-0.000714730493663,0
1.4,-0.0173563842072,-17.3563842072,-0.000980210762738,-0.00275870887176,-0.00383635265687,-0.00117625291529,-0.00296181039235,-0.0047108949214,-0.000217143875052,-0.000715009811746,0
1.5,-0.0173436035374,-17.3436035374,-0.000980157209648,-0.00275683043006,-0.00383276853859,-0.00117618865158,-0.00295905699352,-0.00470648008366,-0.000216839328271,-0.000715282302023,0
1.6,-0.0173306694304,-17.3306694304,-0.000980100670828,-0.00275493459014,-0.00382914348922,-0.00117612080499,-0.00295628108021,-0.00470200589824,-0.000216534920505,-0.000715547976266,0
1.7,-0.0173175823124,-17.3175823124,-0.000980041146453,-0.00275302140471,-0.00382547763027,-0.00117604937574,-0.00295348273132,-0.00469747252922,-0.000216230648512,-0.000715806846133,0
1.8,-0.0173043426105,-17.3043426105,-0.000979978636701,-0.00275109092662,-0.0038217710836,-0.00117597436404,-0.00295066202588,-0.00469288014131,-0.000215926509134,-0.000716058923167,0
1.9,-0.017290950753,-17.290950753,-0.000979913141765,-0.00274914320878,-0.00381802397141,-0.00117589577012,-0.00294781904305,-0.00468822889976,-0.000215622499299,-0.000716304218807,0
2,-0.0172774071695,-17.2774071695,-0.000979844661844,-0.00274717830421,-0.00381423641627,-0.00117581359421,-0.00294495386211,-0.00468351897043,-0.000215318616018,-0.000716542744382,0
2.1,-0.0172637122905,-17.2637122905,-0.000979773197145,-0.00274519626601,-0.00381040854109,-0.00117572783657,-0.00294206656244,-0.00467875051974,-0.000215014856383,-0.000716774511122,0
2.2,-0.0172498665477,-17.2498665477,-0.000979698747888,-0.00274319714734,-0.00380654046911,-0.00117563849747,-0.00293915722354,-0.00467392371468,-0.000214711217562,-0.000716999530154,0
2.3,-0.017235870374,-17.235870374,-0.000979621314299,-0.00274118100145,-0.00380263232392,-0.00117554557716,-0.00293622592502,-0.00466903872282,-0.000214407696803,-0.00071721781251,0
2.4,-0.0172217242031,-17.2217242031,-0.000979540896612,-0.00273914788168,-0.00379868422943,-0.00117544907593,-0.00293327274659,-0.00466409571228,-0.00021410429143,-0.000717429369128,0
2.5,-0.01720742847,-17.20742847,-0.000979457495075,-0.00273709784143,-0.0037946963099,-0.00117534899409,-0.00293029776805,-0.00465909485174,-0.000213800998838,-0.000717634210854,0
2.6,-0.0171929836106,-17.1929836106,-0.00097937110994,-0.00273503093416,-0.00379066868988,-0.00117524533193,-0.00292730106931,-0.00465403631045,-0.000213497816495,-0.000717832348443,0
2.7,-0.0171783900619,-17.1783900619,-0.000979281741471,-0.0027329472134,-0.00378660149427,-0.00117513808977,-0.00292428273033,-0.0046489202582,-0.000213194741941,-0.000718023792567,0
2.8,-0.017163648262,-17.163648262,-0.00097918938994,-0.00273084673275,-0.00378249484827,-0.00117502726793,-0.0029212428312,-0.00464374686533,-0.000212891772783,-0.000718208553813,0
2.9,-0.0171487586498,-17.1487586498,-0.000979094055628,-0.00272872954588,-0.0037783488774,-0.00117491286675,-0.00291818145207,-0.00463851630274,-0.000212588906696,-0.000718386642685,0
3,-0.0171337216654,-17.1337216654,-0.000978995738826,-0.00272659570649,-0.0037741637075,-0.00117479488659,-0.00291509867315,-0.00463322874184,-0.000212286141421,-0.000718558069611,0
3.1,-0.0171185377498,-17.1185377498,-0.000978894439833,-0.00272444526837,-0.00376993946469,-0.0011746733278,-0.00291199457476,-0.00462788435462,-0.000211983474761,-0.000718722844938,0
3.2,-0.0171032073448,-17.1032073448,-0.000978790158958,-0.00272227828533,-0.00376567627541,-0.00117454819075,-0.00290886923725,-0.00462248331357,-0.000211680904586,-0.000718880978943,0
3.3,-0.0170877308934,-17.0877308934,-0.000978682896518,-0.00272009481126,-0.0037613742664,-0.00117441947582,-0.00290572274107,-0.00461702579172,-0.000211378428824,-0.000719032481829,0
3.4,-0.0170721088396,-17.0721088396,-0.000978572652841,-0.00271789490008,-0.00375703356468,-0.00117428718341,-0.00290255516672,-0.00461151196265,-0.000211076045465,-0.000719177363727,0
3.5,-0.017056341628,-17.056341628,-0.000978459428261,-0.00271567860577,-0.00375265429759,-0.00117415131391,-0.00289936659474,-0.00460594200044,-0.000210773752556,-0.000719315634705,0
3.6,-0.0170404297044,-17.0404297044,-0.000978343223124,-0.00271344598234,-0.00374823659273,-0.00117401186775,-0.00289615710576,-0.00460031607969,-0.000210471548203,-0.000719447304761,0
3.7,-0.0170243735154,-17.0243735154,-0.000978224037785,-0.00271119708385,-0.00374378057799,-0.00117386884534,-0.00289292678044,-0.00459463437555,-0.000210169430568,-0.000719572383831,0
3.8,-0.0170081735085,-17.0081735085,-0.000978101872605,-0.00270893196441,-0.00373928638157,-0.00117372224713,-0.00288967569949,-0.00458889706365,-0.000209867397867,-0.000719690881789,0
3.9,-0.0169918301322,-16.9918301322,-0.000977976727957,-0.00270665067815,-0.00373475413191,-0.00117357207355,-0.00288640394367,-0.00458310432015,-0.000209565448371,-0.000719802808449,0
4,-0.0169753438358,-16.9753438358,-0.000977848604222,-0.00270435327924,-0.00373018395776,-0.00117341832507,-0.0028831115938,-0.00457725632173,-0.000209263580402,-0.000719908173569,0
4.1,-0.0169587150694,-16.9587150694,-0.000977717501791,-0.0027020398219,-0.00372557598813,-0.00117326100215,-0.00287979873071,-0.00457135324554,-0.000208961792334,-0.00072000698685,0
4.2,-0.0169419442841,-16.9419442841,-0.000977583421064,-0.00269971036038,-0.00372093035228,-0.00117310010528,-0.00287646543529,-0.00456539526928,-0.000208660082593,-0.000720099257938,0
4.3,-0.0169250319318,-16.9250319318,-0.000977446362447,-0.00269736494893,-0.00371624717979,-0.00117293563494,-0.00287311178846,-0.00455938257112,-0.000208358449651,-0.000720184996427,0
4.4,-0.0169079784651,-16.9079784651,-0.000977306326359,-0.00269500364186,-0.00371152660044,-0.00117276759163,-0.00286973787116,-0.00455331532973,-0.000208056892031,-0.000720264211862,0
4.5,-0.0168907843376,-16.8907843376,-0.000977163313227,-0.00269262649351,-0.00370676874433,-0.00117259597587,-0.00286634376439,-0.00454719372428,-0.000207755408301,-0.000720336913739,0
4.6,-0.0168734500038,-16.8734500038,-0.000977017323485,-0.00269023355822,-0.00370197374179,-0.00117242078818,-0.00286292954914,-0.00454101793444,-0.000207453997075,-0.000720403111506,0
4.7,-0.0168559759188,-16.8559759188,-0.00097686835758,-0.00268782489037,-0.0036971417234,-0.0011722420291,-0.00285949530646,-0.00453478814035,-0.000207152657015,-0.000720462814566,0
4.8,-0.0168383625386,-16.8383625386,-0.000976716415964,-0.00268540054436,-0.00369227282001,-0.00117205969916,-0.00285604111738,-0.00452850452265,-0.000206851386822,-0.000720516032278,0
4.9,-0.01682061032,-16.82061032,-0.000976561499101,-0.00268296057461,-0.00368736716273,-0.00117187379892,-0.002852567063,-0.00452216726246,-0.000206550185244,-0.000720562773959,0
5,-0.0168027197206,-16.8027197206,-0.000976403607461,-0.00268050503557,-0.00368242488288,-0.00117168432895,-0.00284907322439,-0.00451577654137,-0.00020624905107,-0.000720603048887,0
5.1,-0.0167846911987,-16.7846911987,-0.000976242741528,-0.00267803398167,-0.00367744611207,-0.00117149128983,-0.00284555968268,-0.00450933254147,-0.000205947983129,-0.000720636866298,0
5.2,-0.0167665252134,-16.7665252134,-0.000976078901789,-0.00267554746741,-0.00367243098214,-0.00117129468215,-0.00284202651897,-0.0045028354453,-0.000205646980293,-0.000720664235394,0
5.3,-0.0167482222248,-16.7482222248,-0.000975912088745,-0.00267304554726,-0.00366737962515,-0.00117109450649,-0.0028384738144,-0.0044962854359,-0.00020534604147,-0.000720685165338,0
5.4,-0.0167297826932,-16.7297826932,-0.000975742302903,-0.00267052827573,-0.00366229217342,-0.00117089076348,-0.0028349016501,-0.00448968269673,-0.000205045165609,-0.000720699665258,0
5.5,-0.0167112070803,-16.7112070803,-0.000975569544781,-0.00266799570731,-0.0036571687595,-0.00117068345374,-0.00283131010723,-0.00448302741178,-0.000204744351696,-0.000720707744252,0
5.6,-0.016692495848,-16.692495848,-0.000975393814905,-0.00266544789654,-0.00365200951619,-0.00117047257789,-0.00282769926693,-0.00447631976544,-0.000204443598755,-0.000720709411384,0
